Log,Total Steps,Detected Cuts,Detected Fallthroughs
01_ocel_standard_container_logistics.json,8,"[([['Collect Goods', 'Create Transport Document', 'Register Customer Order'], ['Book Vehicles', 'Reschedule Container', 'Drive to Terminal', 'Place in Stock', 'Load Truck', 'Weigh', 'Depart', 'Load to Vehicle', 'Pick Up Empty Container', 'Bring to Loading Bay', 'Order Empty Containers']], ->), ([['Collect Goods'], ['Create Transport Document', 'Register Customer Order']], +), ([['Register Customer Order'], ['Create Transport Document']], ->), ([['Order Empty Containers'], ['Pick Up Empty Container'], ['Load Truck'], ['Drive to Terminal'], ['Reschedule Container', 'Depart']], ->), ([['Place in Stock'], ['Bring to Loading Bay'], ['Load to Vehicle']], ->)]","[([['Drive to Terminal', 'Reschedule Container', 'Load Truck', 'Depart', 'Pick Up Empty Container', 'Order Empty Containers'], ['Book Vehicles', 'Place in Stock', 'Weigh', 'Load to Vehicle', 'Bring to Loading Bay']], +, 0.14516129032258063), ([['Depart'], ['Reschedule Container']], +, 0.6666666666666667), ([['Weigh'], ['Place in Stock', 'Bring to Loading Bay', 'Load to Vehicle']], ->, 1.0)]"
02_ocel_standard_order_management.json,10,"[([['place order'], ['send package', 'pay order', 'create package', 'package delivered', 'pick item', 'reorder item', 'confirm order', 'payment reminder', 'item out of stock', 'failed delivery']], ->), ([['failed delivery'], ['package delivered']], ->), ([['payment reminder'], ['pay order']], ->)]","[([['create package', 'package delivered', 'reorder item', 'failed delivery'], ['send package', 'pay order', 'pick item', 'confirm order', 'payment reminder', 'item out of stock']], +, 0.708955223880597), ([['reorder item'], ['create package', 'failed delivery', 'package delivered']], ->, 0.7333333333333334), ([['create package'], ['failed delivery', 'package delivered']], ->, 0.6666666666666667), ([['send package', 'pick item', 'confirm order', 'item out of stock'], ['pay order', 'payment reminder']], +, 0.8611111111111112), ([['send package', 'confirm order', 'item out of stock'], ['pick item']], +, 0.7777777777777778), ([['send package', 'confirm order'], ['item out of stock']], +, 0.75), ([['confirm order'], ['send package']], +, 0.6666666666666667)]"
03_ocel_standard_p2p.json,4,"[([['Create Purchase Requisition'], ['Approve Purchase Requisition', 'Delegate Purchase Requisition Approval'], ['Create Request for Quotation'], ['Create Purchase Order'], ['Approve Purchase Order'], ['Create Invoice Receipt', 'Perform Two-Way Match', 'Execute Payment', 'Create Goods Receipt']], ->), ([['Approve Purchase Requisition'], ['Delegate Purchase Requisition Approval']], X), ([['Create Invoice Receipt'], ['Perform Two-Way Match'], ['Execute Payment']], ->)]","[([['Create Invoice Receipt', 'Perform Two-Way Match', 'Execute Payment'], ['Create Goods Receipt']], +, 1.0)]"
04_ocel_lrms_o2c.xml,15,"[([['Receive Customer Order'], ['Validate Customer Order']], ->), ([['Approve Order'], ['Schedule Order Fulfillment'], ['Update Inventory', 'Generate Pick List', 'Pick Items'], ['Pack Items'], ['Generate Shipping Label']], ->), ([['Ship Order'], ['Generate Invoice']], ->), ([['Receive Payment'], ['Handle Payment Discrepancy', 'Issue Payment Reminder']], X), ([['Apply Payment'], ['Apply Discount'], ['Approve Return', 'Issue Credit Note']], +), ([['Approve Return'], ['Issue Credit Note']], ->)]","[([['Receive Customer Order', 'Validate Customer Order', 'Perform Credit Check', 'Approve Order', 'Reject Order', 'Schedule Order Fulfillment', 'Update Inventory', 'Pick Items', 'Generate Pick List', 'Pack Items', 'Generate Shipping Label', 'Ship Order', 'Generate Invoice', 'Send Invoice to Customer', 'Process Return Request', 'Issue Payment Reminder', 'Handle Payment Discrepancy', 'Receive Payment'], ['Apply Discount', 'Approve Return', 'Apply Payment', 'Issue Credit Note']], ->, 0.9), ([['Receive Customer Order', 'Validate Customer Order'], ['Perform Credit Check', 'Reject Order', 'Approve Order', 'Schedule Order Fulfillment', 'Update Inventory', 'Generate Pick List', 'Pick Items', 'Pack Items', 'Generate Shipping Label', 'Ship Order', 'Generate Invoice', 'Process Return Request', 'Send Invoice to Customer', 'Receive Payment', 'Handle Payment Discrepancy', 'Issue Payment Reminder']], ->, 0.7647058823529411), ([['Perform Credit Check'], ['Reject Order', 'Approve Order', 'Schedule Order Fulfillment', 'Update Inventory', 'Generate Pick List', 'Pick Items', 'Pack Items', 'Generate Shipping Label', 'Ship Order', 'Generate Invoice', 'Process Return Request', 'Send Invoice to Customer', 'Receive Payment', 'Handle Payment Discrepancy', 'Issue Payment Reminder']], ->, 0.7619047619047619), ([['Reject Order', 'Approve Order', 'Schedule Order Fulfillment', 'Update Inventory', 'Generate Pick List', 'Pick Items', 'Pack Items', 'Generate Shipping Label', 'Ship Order', 'Generate Invoice'], ['Process Return Request', 'Send Invoice to Customer', 'Receive Payment', 'Handle Payment Discrepancy', 'Issue Payment Reminder']], ->, 0.7857142857142857), ([['Approve Order', 'Schedule Order Fulfillment', 'Update Inventory', 'Generate Pick List', 'Pick Items', 'Pack Items', 'Generate Shipping Label'], ['Ship Order', 'Generate Invoice']], ->, 1.0), ([['Update Inventory', 'Generate Pick List'], ['Pick Items']], +, 0.5), ([['Generate Pick List'], ['Update Inventory']], +, 1.0), ([['Send Invoice to Customer'], ['Receive Payment', 'Handle Payment Discrepancy', 'Issue Payment Reminder']], ->, 1.0), ([['Issue Payment Reminder'], ['Handle Payment Discrepancy']], X, 1.0)]"
05_ocel_lrms_p2p.xml,11,"[([['Three-way Match - Mismatch Found'], ['Three-way Match - Successful']], +), ([['Create PR'], ['Approve PR', 'Reject PR']], ->), ([['Approve PR'], ['Reject PR']], X)]","[([['Create PO', 'Three-way Match - Mismatch Found', 'Approve PO', 'Make Payment', 'Three-way Match - Successful', 'Create PO (Batch)', 'Receive Goods', 'Receive Invoice', 'Send PO to Supplier'], ['Create PR', 'Approve PR', 'Reject PR']], +, 0.5833333333333333), ([['Three-way Match - Mismatch Found', 'Three-way Match - Successful', 'Receive Invoice', 'Receive Goods'], ['Create PO', 'Approve PO', 'Make Payment', 'Create PO (Batch)', 'Send PO to Supplier']], +, 0.10526315789473684), ([['Three-way Match - Successful', 'Receive Goods', 'Three-way Match - Mismatch Found'], ['Receive Invoice']], +, 1.0), ([['Receive Goods'], ['Three-way Match - Successful', 'Three-way Match - Mismatch Found']], +, 0.875), ([['Make Payment', 'Create PO (Batch)', 'Send PO to Supplier'], ['Create PO', 'Approve PO']], +, 0.9), ([['Make Payment', 'Send PO to Supplier'], ['Create PO (Batch)']], +, 1.0), ([['Send PO to Supplier'], ['Make Payment']], +, 0.5), ([['Approve PO'], ['Create PO']], +, 1.0)]"
06_ocel_lrms_hr.xml,16,"[([['Screen Resume', 'Submit Application', 'Complete Assessment', 'Create Job Requisition', 'Conduct Initial Interview', 'Schedule Initial Interview', 'Send Assessment', 'Approve Job Requisition', 'Post Job Opening', 'Review Assessment'], ['Schedule Panel Interview']], ->), ([['Create Job Requisition'], ['Approve Job Requisition'], ['Screen Resume', 'Submit Application', 'Conduct Initial Interview', 'Schedule Initial Interview', 'Post Job Opening']], ->), ([['Submit Application'], ['Screen Resume']], ->), ([['Schedule Initial Interview'], ['Conduct Initial Interview']], ->), ([['Complete Assessment'], ['Review Assessment']], ->), ([['Conduct Panel Interview'], ['Evaluate Interview'], ['Initiate Background Check'], ['Complete Background Check'], ['Prepare Offer Letter']], ->), ([['Candidate Accept Offer', 'Start Onboarding', 'Complete Onboarding', 'Candidate Reject Offer', 'Send Offer Letter', 'Complete HR Paperwork', 'Attend Orientation Training'], ['Send Rejection Letter']], X), ([['Send Offer Letter'], ['Candidate Accept Offer', 'Start Onboarding', 'Complete Onboarding', 'Candidate Reject Offer', 'Complete HR Paperwork', 'Attend Orientation Training']], ->), ([['Candidate Accept Offer', 'Start Onboarding', 'Complete Onboarding', 'Complete HR Paperwork', 'Attend Orientation Training'], ['Candidate Reject Offer']], X), ([['Candidate Accept Offer'], ['Start Onboarding'], ['Complete HR Paperwork'], ['Attend Orientation Training'], ['Complete Onboarding']], ->)]","[([['Create Job Requisition', 'Approve Job Requisition', 'Post Job Opening', 'Submit Application', 'Screen Resume', 'Schedule Initial Interview', 'Conduct Initial Interview', 'Send Assessment', 'Complete Assessment', 'Review Assessment', 'Schedule Panel Interview', 'Conduct Panel Interview', 'Evaluate Interview', 'Initiate Background Check', 'Complete Background Check', 'Prepare Offer Letter'], ['Send Rejection Letter', 'Send Offer Letter', 'Candidate Reject Offer', 'Candidate Accept Offer', 'Start Onboarding', 'Complete HR Paperwork', 'Attend Orientation Training', 'Complete Onboarding']], ->, 0.9903846153846154), ([['Create Job Requisition', 'Approve Job Requisition', 'Post Job Opening', 'Submit Application', 'Screen Resume', 'Schedule Initial Interview', 'Conduct Initial Interview', 'Send Assessment', 'Complete Assessment', 'Review Assessment', 'Schedule Panel Interview'], ['Conduct Panel Interview', 'Evaluate Interview', 'Initiate Background Check', 'Complete Background Check', 'Prepare Offer Letter']], ->, 0.9), ([['Create Job Requisition', 'Approve Job Requisition', 'Post Job Opening', 'Submit Application', 'Screen Resume', 'Schedule Initial Interview', 'Conduct Initial Interview'], ['Send Assessment', 'Complete Assessment', 'Review Assessment']], ->, 0.9285714285714286), ([['Post Job Opening', 'Submit Application', 'Screen Resume'], ['Schedule Initial Interview', 'Conduct Initial Interview']], ->, 0.5), ([['Post Job Opening'], ['Submit Application', 'Screen Resume']], ->, 0.6666666666666667), ([['Send Assessment'], ['Complete Assessment', 'Review Assessment']], ->, 0.6666666666666667)]"
07_ocel_lrms_hospital.xml,1,"[([['Pre-Admission Consultation'], ['Insurance Verification'], ['Appointment Scheduling'], ['Patient Arrival'], ['Registration'], ['Initial Evaluation'], ['Assign Bed'], ['Diagnostic Test Order'], ['Perform Diagnostic Test']], ->)]",[]
08_ocel_standard_hinge.xml,10,[],"[([['SplitSteelSheet'], ['HeatSteelSheet', 'FormSteelSheet', 'CoatPart', 'CuttFemalePart', 'CuttMalePart', 'MoveParts', 'CheckFemalePart', 'CheckMalePart', 'AssembleHinge', 'PackHinges']], ->, 0.23529411764705888), ([['HeatSteelSheet', 'FormSteelSheet', 'CoatPart', 'CuttFemalePart', 'CuttMalePart'], ['MoveParts', 'CheckFemalePart', 'CheckMalePart', 'AssembleHinge', 'PackHinges']], ->, 0.1875), ([['HeatSteelSheet'], ['FormSteelSheet', 'CoatPart', 'CuttFemalePart', 'CuttMalePart']], ->, 0.2941176470588235), ([['FormSteelSheet'], ['CoatPart', 'CuttFemalePart', 'CuttMalePart']], ->, 0.33333333333333337), ([['CuttMalePart'], ['CuttFemalePart', 'CoatPart']], +, 0.41666666666666663), ([['CoatPart'], ['CuttFemalePart']], +, 0.16666666666666663), ([['CheckFemalePart', 'PackHinges', 'AssembleHinge', 'CheckMalePart'], ['MoveParts']], +, 1.0), ([['CheckMalePart'], ['CheckFemalePart', 'AssembleHinge', 'PackHinges']], ->, 0.5555555555555556), ([['AssembleHinge'], ['PackHinges', 'CheckFemalePart']], +, 0.4), ([['PackHinges'], ['CheckFemalePart']], +, 0.0)]"
20_ocel_legacy_github_pm4py.jsonocel,17,"[([['assigned'], ['moved_columns_in_project']], ->), ([['cross-referenced'], ['head_ref_deleted']], ->), ([['created'], ['closed', 'commented']], ->)]","[([['base_ref_changed', 'renamed', 'cross-referenced', 'mentioned', 'referenced', 'unassigned', 'added_to_project', 'head_ref_deleted', 'moved_columns_in_project', 'merged', 'head_ref_restored', 'assigned', 'reopened', 'milestoned', 'unlabeled', 'subscribed', 'labeled'], ['commented', 'created', 'closed']], +, 0.6503267973856209), ([['unlabeled', 'base_ref_changed', 'head_ref_restored', 'unassigned', 'renamed', 'added_to_project', 'labeled', 'moved_columns_in_project', 'merged', 'assigned'], ['reopened', 'mentioned', 'milestoned', 'referenced', 'subscribed', 'head_ref_deleted', 'cross-referenced']], +, 0.29047619047619044), ([['base_ref_changed', 'unlabeled', 'head_ref_restored', 'unassigned', 'added_to_project', 'moved_columns_in_project', 'merged', 'assigned'], ['renamed', 'labeled']], +, 0.39583333333333337), ([['base_ref_changed', 'unlabeled', 'head_ref_restored', 'unassigned', 'added_to_project'], ['moved_columns_in_project', 'merged', 'assigned']], +, 0.37777777777777777), ([['unlabeled', 'added_to_project'], ['unassigned', 'base_ref_changed', 'head_ref_restored']], ->, 0.38888888888888884), ([['unlabeled'], ['added_to_project']], +, 0.6666666666666667), ([['head_ref_restored', 'unassigned'], ['base_ref_changed']], +, 0.41666666666666663), ([['unassigned'], ['head_ref_restored']], +, 0.16666666666666663), ([['merged'], ['moved_columns_in_project', 'assigned']], X, 1.0), ([['labeled'], ['renamed']], +, 0.8333333333333334), ([['milestoned', 'referenced'], ['reopened', 'mentioned', 'subscribed', 'head_ref_deleted', 'cross-referenced']], +, 0.5166666666666666), ([['referenced'], ['milestoned']], X, 0.75), ([['reopened'], ['cross-referenced', 'head_ref_deleted']], ->, 0.9), ([['commented'], ['closed']], +, 1.0)]"
21_ocel_legacy_o2c.jsonocel,21,"[([['Invoice Cancellation', 'Returns Delivery', 'Create Debit Memo', 'Create Credit Memo', 'Goods Movement', 'Create Credit Memo Request', 'Create Delivery', 'Create Quotation', 'Handling Unit', 'Create Order', 'Create Purchase Requisition', 'Create Purchase Order', 'Create Pro Forma Invoice', 'Create Order without Charge', 'Create Inquiry', 'Create Contract', 'Create Returns Document', 'Create Debit Memo Request', 'Indipendent Requisition', 'Quickstart RKCOWUSL', 'WMS Transfer Order', 'Create Invoice'], ['Item Proposal']], X), ([['Create Purchase Order', 'Create Purchase Requisition'], ['Goods Movement', 'Create Pro Forma Invoice', 'Invoice Cancellation', 'Create Delivery', 'Quickstart RKCOWUSL', 'Create Order', 'Create Debit Memo', 'WMS Transfer Order', 'Create Credit Memo', 'Create Invoice']], ->), ([['Create Purchase Order'], ['Create Purchase Requisition']], +), ([['Create Pro Forma Invoice', 'Create Delivery', 'Create Order', 'WMS Transfer Order'], ['Create Invoice']], +), ([['Create Delivery'], ['Create Pro Forma Invoice']], ->), ([['Quickstart RKCOWUSL'], ['Goods Movement', 'Create Debit Memo', 'Invoice Cancellation', 'Create Credit Memo']], ->), ([['Invoice Cancellation'], ['Create Credit Memo']], X), ([['Create Credit Memo Request', 'Create Quotation', 'Returns Delivery', 'Handling Unit', 'Create Inquiry', 'Create Contract', 'Create Returns Document', 'Create Debit Memo Request'], ['Create Order without Charge'], ['Indipendent Requisition']], X), ([['Handling Unit', 'Create Credit Memo Request', 'Returns Delivery'], ['Create Quotation']], X), ([['Handling Unit'], ['Create Credit Memo Request']], X)]","[([['Invoice Cancellation', 'Create Debit Memo', 'Create Credit Memo', 'Goods Movement', 'Create Delivery', 'Create Order', 'Create Purchase Requisition', 'Create Purchase Order', 'Create Pro Forma Invoice', 'Quickstart RKCOWUSL', 'WMS Transfer Order', 'Create Invoice'], ['Returns Delivery', 'Create Credit Memo Request', 'Create Quotation', 'Handling Unit', 'Create Order without Charge', 'Create Inquiry', 'Create Contract', 'Create Returns Document', 'Create Debit Memo Request', 'Indipendent Requisition']], +, 0.2191011235955056), ([['Create Pro Forma Invoice', 'Create Delivery', 'Create Order', 'WMS Transfer Order', 'Create Invoice'], ['Goods Movement', 'Invoice Cancellation', 'Quickstart RKCOWUSL', 'Create Debit Memo', 'Create Credit Memo']], +, 0.4390243902439024), ([['Create Order', 'WMS Transfer Order'], ['Create Pro Forma Invoice', 'Create Delivery']], +, 0.7142857142857143), ([['WMS Transfer Order'], ['Create Order']], +, 0.5), ([['Invoice Cancellation', 'Create Credit Memo'], ['Goods Movement', 'Create Debit Memo']], +, 0.41666666666666663), ([['Create Debit Memo'], ['Goods Movement']], +, 0.33333333333333337), ([['Create Inquiry', 'Create Contract', 'Create Returns Document', 'Create Debit Memo Request'], ['Create Credit Memo Request', 'Create Quotation', 'Returns Delivery', 'Handling Unit']], +, 0.2777777777777778), ([['Create Contract', 'Create Returns Document', 'Create Inquiry'], ['Create Debit Memo Request']], +, 0.1875), ([['Create Returns Document'], ['Create Contract', 'Create Inquiry']], +, 0.0), ([['Create Inquiry'], ['Create Contract']], +, 0.0), ([['Handling Unit', 'Create Credit Memo Request'], ['Returns Delivery']], +, 0.25)]"
